load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.584 ,1334.2 ,142.2 ,9.3804 ,16,37.6 ,25.4 ,12,98.3 ,8.8 ,4.2 ,340 ,25.7 ,680 ,
0.563 ,1287.1 ,139.8 ,9.2061 ,16,37.6 ,25.1 ,12,65.5 ,7.3 ,3.6 ,332 ,25.2 ,670 ,
0.615 ,1404.7 ,145.4 ,9.6630 ,16,37.6 ,25.9 ,12,54.6 ,5.9 ,5.0 ,350 ,26.3 ,691 ,
0.576 ,1316.6 ,141.8 ,9.2872 ,16,37.6 ,25.3 ,12,43.7 ,4.8 ,4.0 ,338 ,25.7 ,679 ,
0.522 ,1191.6 ,137.0 ,8.6952 ,16,37.6 ,24.5 ,12,32.8 ,3.4 ,2.7 ,322 ,24.8 ,662 ,
0.677 ,1547.8 ,136.2 ,11.3614 ,18,125.3 ,21.2 ,8,109.2 ,4.6 ,3.5 ,331 ,22.1 ,609 ,
0.672 ,1535.7 ,136.3 ,11.2679 ,18,125.3 ,21.2 ,8,98.3 ,4.3 ,3.5 ,331 ,22.2 ,612 ,
0.649 ,1482.2 ,134.1 ,11.0566 ,18,125.3 ,21.1 ,8,87.3 ,4.0 ,2.9 ,325 ,21.9 ,606 ,
0.629 ,1438.4 ,132.7 ,10.8416 ,18,125.3 ,21.0 ,8,76.4 ,3.5 ,2.5 ,320 ,21.8 ,604 ,
0.605 ,1383.4 ,131.0 ,10.5583 ,18,125.3 ,20.9 ,8,65.5 ,3.0 ,2.0 ,315 ,21.6 ,601 ,
0.753 ,1721.6 ,143.0 ,12.0407 ,18,125.3 ,21.6 ,10,109.2 ,6.2 ,5.0 ,350 ,22.5 ,618 ,
0.739 ,1688.7 ,141.6 ,11.9288 ,18,125.3 ,21.5 ,10,98.3 ,5.9 ,4.7 ,347 ,22.4 ,616 ,
0.722 ,1649.2 ,140.0 ,11.7833 ,18,125.3 ,21.4 ,10,87.3 ,5.5 ,4.4 ,342 ,22.3 ,614 ,
